Designator,Mid X,Mid Y,Rotation,Layer
BZ1,75.75,-116.95,90.0,top
C1,68.75,-127.6,0.0,top
C10,77.4,-128.75,180.0,top
C11,101.25,-124.7625,90.0,top
C12,92.05,-123.3,180.0,top
C13,90.25,-134.5625,270.0,top
C14,91.85,-134.5625,270.0,top
C15,77.4,-126.65,180.0,top
C16,102.25,-139.2125,270.0,top
C17,102.25,-135.6125,90.0,top
C18,98.4,-120.3,180.0,top
C19,95.85,-141.9,90.0,top
C2,57.2,-126.4,270.0,top
C20,99.85,-141.9,90.0,top
C21,105.85,-139.2125,90.0,top
C22,123.0,-132.7,90.0,top
C23,80.6,-138.2,270.0,top
C3,59.4,-126.4,270.0,top
C4,55.0,-126.4,270.0,top
C5,58.15,-123.7,0.0,top
C6,70.0,-137.35,90.0,top
C7,86.6,-142.15,270.0,top
C8,75.6,-134.75,0.0,top
C9,72.6,-143.15,270.0,top
D1,64.84,-137.65,270.0,top
D2,51.0,-135.775,270.0,top
D3,60.4,-136.975,90.0,top
D4,55.05,-137.0,270.0,top
D5,64.4,-124.6,180.0,top
D6,75.6,-131.75,180.0,top
D7,102.4,-111.93,0.0,top
D8,87.6,-130.2,270.0,top
FB1,104.05,-139.2375,270.0,top
J1,46.0,-129.0,270.0,top
J2,106.435,-115.86,0.0,top
J3,87.3,-121.39,180.0,top
J4,129.0,-127.87,0.0,top
J5,129.0,-121.605,180.0,top
L1,83.0,-132.4,90.0,top
Q2,117.44,-114.32,0.0,top
Q4,83.8,-113.0,0.0,top
Q5,65.6,-116.1,90.0,top
Q6,59.7,-116.1,90.0,top
R1,63.0,-128.0,180.0,top
R10,81.6,-143.35,180.0,top
R11,95.935,-117.2175,90.0,top
R12,64.8,-141.25,90.0,top
R13,87.6,-133.8,90.0,top
R14,116.4,-119.25,180.0,top
R15,112.8,-119.25,0.0,top
R16,87.0,-113.0,270.0,top
R17,117.4,-141.0,270.0,top
R18,112.2,-140.8,270.0,top
R19,120.7125,-120.2,0.0,top
R2,63.0,-130.2,0.0,top
R20,83.8,-117.6,0.0,top
R21,83.8,-120.1,180.0,top
R22,83.8,-115.7,180.0,top
R3,57.8,-137.0,90.0,top
R4,63.1125,-132.4,0.0,top
R5,63.6,-121.4,0.0,top
R6,60.0,-121.4,180.0,top
R7,62.4,-136.75,270.0,top
R8,83.6,-139.15,0.0,top
R9,81.6,-141.35,0.0,top
S1,99.4,-116.4,90.0,top
S3,92.6,-116.2,90.0,top
SW1,115.0,-130.2,90.0,top
U1,96.4,-129.6,0.0,top
U2,58.0,-131.2,90.0,top
U3,75.6,-138.92,0.0,top
U4,126.5,-135.03,270.0,top
X1,97.85,-137.9,180.0,top
